address,date,daily_received,daily_sent,daily_net,daily_max_out,daily_max_in,daily_max_tx,rolling_avg_tx_size,rolling_tx_frequency,rolling_net,top_counterparties,top_counterparty_count
addr_test1qp23yv7k4kzhd2rntjamkda4q7hdn9qkrf63u9p8ce6fhwdeve3p6rsav4v5mdcz8qzcfenrlwhrs2ffk04ac44ermfq5t8ljx,2025-11-29,14999.819891,10000.0,4999.819890999999,10000.0,10000.0,10000.0,0.0,0.0,0.0,"addr_test1qzyp52q023yfcvrj902k2hs9gn258ddnsrcg3p540vy7ldd7h569fuf63k3lj4frpp6c9mv0eegedj5qjffyc44qezuseuuy9y,addr_test1vqeux7xwusdju9dvsj8h7mca9aup2k439kfmwy773xxc2hcu7zy99",1
addr_test1qp5r7gm03mw08u9zkfrxvdr5phwg9n2mn90mcthpmea6kmt5tuww9mf3pzmp3nrvjm95hfju2v57w6f5d54h8eqd2wysqkvsl9,2025-11-29,4999.831331,10000.0,-5000.168669,4999.831331,10000.0,10000.0,0.0,0.0,0.0,addr_test1qpsxak49pveycp2phjqzr9gfmttf9dqsx5t404xq4dz4u7ja2vzlmkj7ck88c4n40ehps56gxvts9x2weqgq89gfef5snjnwz3,1
addr_test1qp6h0qzy8e5dw238qzde33tz6qtgjegdphrawy4h7uch05x889c9re4ajppf7f6u9vz2rxwjfd0epkcs7wdvfpjh5h7qvn4ck4,2025-11-29,49088.950138,49257.791723,-168.84158500000194,9840.990098,9893.494873,9893.494873,0.0,0.0,0.0,addr_test1qrqp0rwtuy4as2d0gu7ezyzx85759k7wsq4u860cy6zxq740de9hgwfj472mw57psjmpevgsezv0xkcchmhn4ye9kluse5gflu,3
addr_test1qp6ruunvywyrn2ldrxwk3h9dw254rgcwmp6g9prfjx53ntv898ykky2499xvnfn5eprxza4ctcvyvh96zhq8yn7p03lq2z8mze,2025-11-29,18898.376703,18908.725657,-10.34895399999732,9451.77559,9456.950067,9456.950067,0.0,0.0,0.0,"addr_test1wpcyj0yjzsp9qawt2esgea5efjdd029fzcp9qprf666jzfqt9cr4e,addr_test1wzdxcp8m35jaap2ltwpz7pqdgku4lfm48akt57g779yajtgywjwm2",1
addr_test1qpfpxx2m56u7td8duem6kkcdw25kfyd0jcv7g7hwup797p5d0v7l822u4xea8zty37320uz3nwdl88agexcj9n7s986q5j40uk,2025-11-29,5066.214307,5473.362987,-407.14868000000024,987.380719,987.380719,987.380719,0.0,0.0,0.0,"addr_test1zpt24v32hpd88w3l0wmwg3mhs9lm5dzrnn0d22n6seznmjy9rk398gms2eh8snp58c9skehndz9ps8ff5rfns7mfafnqf5lz9g,addr_test1qzjlvcktfaxlwkc2vjw88mvxdm8dreejklxe34dea64efkal3yq6fxf0xa3nyxfrjcszcddjcyc8fv6q4dj2hxhed9kssca2ee,addr_test1qrumevq7kkyljesjhdtwuugwrf84qcfnlmuwgr9pmwpl8wdc27djcryfv4gxdyhw088dgy2v566wgq8jqyd4cw0agrdqdt3m2e",7
addr_test1qpgq2n6vpdwskfjk0uzj9askyele649ghtz8q9r9m2r07hxw6a59ugz9wl2t82g3nggzgxpz99unwe48cx8zrct66p7syxy2l0,2025-11-29,8999.819891,10000.0,-1000.1801090000008,4497.319891,10000.0,10000.0,0.0,0.0,0.0,addr_test1qqcm62zdvt38ctv432tptaqdrdh3hl2xlp4guq893hqpu6l77qrcufvgcycrglrj4qgxzfhk723vkn46patwnngwhyrqtunqtw,1
addr_test1qphpmu6qm46rgvvnxfwfc8a57y4dj20x665ulr5xjaywh93s8cfm5nnkkn5kve26gvssg7wp77jnxleujwcz8xs7v29qcdvhz8,2025-11-29,5.0,0.0,5.0,5.0,,5.0,0.0,0.0,0.0,addr_test1qpwrzk49m733n33krd27fdzn8yecwvju80e8c5g45asj35f2deak5yydxl5pmzdg20wgsadhu87r4elkwva8y9zge0uqs44jt2,1
addr_test1qpsxak49pveycp2phjqzr9gfmttf9dqsx5t404xq4dz4u7ja2vzlmkj7ck88c4n40ehps56gxvts9x2weqgq89gfef5snjnwz3,2025-11-29,5000.0,0.0,5000.0,5000.0,,5000.0,0.0,0.0,0.0,addr_test1qp5r7gm03mw08u9zkfrxvdr5phwg9n2mn90mcthpmea6kmt5tuww9mf3pzmp3nrvjm95hfju2v57w6f5d54h8eqd2wysqkvsl9,1
addr_test1qptu9takwxy2309end3nuu54lpw4cpxlp7lunzqd25p69g7q9hp5y0uxq0mmautdg2mzmhctm6e5h56rrqf0epdvpwwswx5u2w,2025-11-29,10000.0,0.0,10000.0,10000.0,,10000.0,0.0,0.0,0.0,addr_test1vqeux7xwusdju9dvsj8h7mca9aup2k439kfmwy773xxc2hcu7zy99,1
addr_test1qpwrzk49m733n33krd27fdzn8yecwvju80e8c5g45asj35f2deak5yydxl5pmzdg20wgsadhu87r4elkwva8y9zge0uqs44jt2,2025-11-29,974.151903,979.320484,-5.168581000000017,974.151903,979.320484,979.320484,0.0,0.0,0.0,addr_test1qphpmu6qm46rgvvnxfwfc8a57y4dj20x665ulr5xjaywh93s8cfm5nnkkn5kve26gvssg7wp77jnxleujwcz8xs7v29qcdvhz8,1
addr_test1qq50sks40pnh5tkth68m3lrvzvlepaew6prl3u8u69nd3zu9rk398gms2eh8snp58c9skehndz9ps8ff5rfns7mfafnqt4qk0e,2025-11-29,3.781,23.31279,-19.53179,3.781,23.31279,23.31279,0.0,0.0,0.0,"addr_test1qz9jfhecgrlw4yw8wknddnnpw2ah0t3n967zz9ffrssl3pdct9f58ux0fyazdlzgl3vuua05dcqnengw4vm6n0cxl4fq47fdde,addr_test1zpt24v32hpd88w3l0wmwg3mhs9lm5dzrnn0d22n6seznmjy9rk398gms2eh8snp58c9skehndz9ps8ff5rfns7mfafnqf5lz9g",1
addr_test1qqcm62zdvt38ctv432tptaqdrdh3hl2xlp4guq893hqpu6l77qrcufvgcycrglrj4qgxzfhk723vkn46patwnngwhyrqtunqtw,2025-11-29,1997.832695,1000.0,997.8326950000001,1000.0,1000.0,1000.0,0.0,0.0,0.0,"addr_test1wqzuhlst26gyd3z4nqglyxf5tp06w06ejwmkdys9d003rpg2s0tua,addr_test1qpgq2n6vpdwskfjk0uzj9askyele649ghtz8q9r9m2r07hxw6a59ugz9wl2t82g3nggzgxpz99unwe48cx8zrct66p7syxy2l0",1
addr_test1qqdxeujed4f77u82rslna9gtsrwnxqww8f3zxz8w4uz87vwy68rhqmmahtetcv2wcvsqe0ct9h6gmd8g5nsuw38rq4sqvh9dvw,2025-11-29,18629.790583,18632.125809,-2.3352259999992384,9315.479406,9316.646403,9316.646403,0.0,0.0,0.0,"addr_test1qzuj54degd86nn0fmn7melfuc8jln6zsug9knw06jdatgyu2m4n8ptzy49y25r6pe677yfgyrskvayeg4t7q4q25stwsu5cvm9,addr_test1vryumtuh5u0zkk3e7cvv4f568umz5xrt8077cz5ehemjzzcu0edde",1
addr_test1qqj4t6m7pwqn6x3hkhs9cunj62fsgj7ezt9spvxj3mne77xp2lx7h4wuk22fmwmlhtzjvysysw663sdt6h4kwjk7ksvsfg7juk,2025-11-29,9690.764382000001,7689.081795,2001.6825870000011,4682.950133,4683.345118,4683.345118,0.0,0.0,0.0,addr_test1wqzsngca2uu8z8lk0hudfkw300cllua300r3exeeax70xcq4k9hyu,2
addr_test1qqkxdt3sav4cz3r5xnrsstlxzlhuzhvyd2qm6wxz0gd63ee77fl6k08e6egytyweyv8w6al94rphdc47mrdzent8gazsykeyrk,2025-11-29,0.0,100.0,-100.0,,50.0,50.0,0.0,0.0,0.0,"addr_test1wru93xpnc6v2svsq79kyyegj0mv4mdl83sdtp8dgtu9y78smvhuhs,addr_test1qz58xfza4s7qm2agzqghk5ahkr76ectl5ah3kyvnxnewkkw5cdds9sxqtxh5pll747354mwjnlsn3wkcrtccu0056n8s7wl96f,addr_test1qrj4akkyph45y4ulcsj8jvsj6z8lgfppjxamj9duxahef4wvl7fp8sn9tq5w542gj772zg6qhx0m9qd4t652us2m7xdqcxt2u4",2
addr_test1qqm56vjt0wa9xj2r5hye682ps9gz3ksw75cv45fdmhktpkfffsx09epxg2f586qkf0znd963phxjs2ja9849kh8d0xnsc7mp78,2025-11-29,39908.597266,39920.271238,-11.673972000004142,9981.652056,9982.820549,9982.820549,0.0,0.0,0.0,addr_test1qryvvl7una3saemqjdwu22y99vuhzhr7xw2xttcvpyq6hnjuc56up2uxzajkkhdemkjdnt0yn5g7wx3va69zw4lxeuhsp8q3dl,4
addr_test1qqpe6v4c95v0jlgjm5578w3san3eycf0hcfxwpp0yafze8mxjxnr4tyryejp4kxyqu0u82wv4hx6f6pqns9dknetaqgsmzzz6e,2025-11-29,312820.142832,312846.005954,-25.863122000009753,22349.613931,22351.085134,22351.085134,0.0,0.0,0.0,"addr_test1wqx8zmxzh6xxpch9zapf60azwm5ze9fsfa7e3ea6vjuzm2ctgrjju,addr_test1wqt2v8zcpjldyu2zcwz3yuu8p4wpk0hzaqwthh23qgs5xgg7266qn,addr_test1wzccrw3f4n7qavr67uvupxm4jd46uv0f9evgzpytlwz4zgq6sfuv9",7
addr_test1qqs88lem3gleyjj9lhhrxwj3q7uzvjyphce62pcf90wgutnl4my4md9cdrttjnk02vrmpc2av7a9vdnx600ekjrsfwvs50rr8m,2025-11-29,9862.402533,9866.657378999998,-4.254845999997997,9853.55429,9854.748194,9854.748194,0.0,0.0,0.0,"addr_test1xp3g6ayyt3e0m9w3jtxr84mf877nhqh4snt2g7ww43yf6lx4w8kmdszpx27e3wpawvkcqcrhrl9ra09stpe8ahtznzesm8x8rk,addr_test1xz429ta7d8akqvk6rtkavja8kshy4m3dplm2sgx60rp0fk3pmuk902u7lh609tzz54f32s49s5uf6sphu2zer00a2k4qkq40f9",4
addr_test1qqtrjd6wx44xz5gkc9yl8xn6zjnzc2kns3y2tvdpmauvj2ey4t05exc5mmvkka0f75qkhw8ae9d27znqq82nqlr9x0ashdk5m0,2025-11-29,8997.452941,9497.640442,-500.18750100000034,8997.452941,9497.640442,9497.640442,0.0,0.0,0.0,,0
addr_test1qqxnkqmvh6akr6jujzhw2mtf4uzf5n4a5p2drl5ha4hxqdw4pfgmdkjmu2z0rlxept3rfnha98xrmyf7v2vy5dal07wst360ex,2025-11-29,700.0,0.0,700.0,400.0,,400.0,0.0,0.0,0.0,addr_test1qz26nc7324hlhh06h80nfwcytjtu564uqtm6u8nh3p4t5988dh9fenf62rjattemwj6a6qhjge9wjsux6nu070azylaqqws8mq,2
addr_test1qqynu5d8p9yc7garta6z4g34e2tlzye5ty8uy6ljmffnpnjv7ncp3yppt0gcr50u60y43x32fgadhnl35u9hfqyql2pqepxt0y,2025-11-29,10000.0,0.0,10000.0,10000.0,,10000.0,0.0,0.0,0.0,addr_test1vqeux7xwusdju9dvsj8h7mca9aup2k439kfmwy773xxc2hcu7zy99,1
addr_test1qqzllc620hkk05l5cyg38wgflrunzw70x5h6825g03gu4yyc85y96hdkqtarg95gewuezjvkw8zt530tnmglhrzccdds5vxw0m,2025-11-29,10406.715854,10422.392152,-15.676298000000315,6738.65584,6738.88139,6738.88139,0.0,0.0,0.0,addr_test1wqzdedqpy2ljhf70dw89p399z836dvmgs7sn6qyr0gndu7gp9k7en,3
addr_test1qr23z9axxwyh5zaj2ewqvfu6xd899tddxgasrwu35p2vgw9gvst4lcyrhmg0vtwq5g4tx25etraqj2cm6kwd8ly0eaaqwpc2hs,2025-11-29,15001.47031,15033.205123,-31.73481299999912,1882.047222,1882.498675,1882.498675,0.0,0.0,0.0,"addr_test1wq6mp7qks38uptyzxxtlk0pth8mnmyp3h7je6fsxva47qgs2h0a28,addr_test1wrumn0zm9c858kghqrzjhhv555rgzt9hzje3sksh2e7ggaqewfxd4,addr_test1wrjarvxfuj82nqz3r65rg3plnn8z4l7wy2jjxtwfr5wcyucu0a447",4
addr_test1qr5dmng8myuymt0rrwltw5uasv8vjcqchlmstz4z3uz0z8awj3v2656xdwvnztjpm69n6072xkqjmuzqhttpa65u5dhssuht5q,2025-11-29,10000.0,0.0,10000.0,10000.0,,10000.0,0.0,0.0,0.0,addr_test1vqeux7xwusdju9dvsj8h7mca9aup2k439kfmwy773xxc2hcu7zy99,1
addr_test1qr7cxnat868zymckfjrqltzzj7fppqt7v48qak2p6g2sj06cg82zr8nkulez36wc4hwcfq3z4hdu7730798vs97njpeq93repj,2025-11-29,10000.0,0.0,10000.0,10000.0,,10000.0,0.0,0.0,0.0,addr_test1vqeux7xwusdju9dvsj8h7mca9aup2k439kfmwy773xxc2hcu7zy99,1
addr_test1qr88apxadqac8v2vnnvmpyrvk0xx9d2ra0v2urg5px0n4jvc9dhu5g4hywcenl666x9rv8t04x2sk2ddfvemsve9gums47fdsm,2025-11-29,10000.0,0.0,10000.0,10000.0,,10000.0,0.0,0.0,0.0,addr_test1vqeux7xwusdju9dvsj8h7mca9aup2k439kfmwy773xxc2hcu7zy99,1
addr_test1qr8dpq940a3eakdynmhqe0e5w97cuwmzcr57cya7elyj4leqq4t92l789cpu4xe53q5j8rve5vw86kwm20qq324qrrjq4frkla,2025-11-29,0.96975,0.0,0.96975,0.96975,,0.96975,0.0,0.0,0.0,addr_test1qr92dwmyvzd42up52tx6cscu9z8tnnjw06kncruqx8x9fqs4j8jp6f3kanswkahdspqsdq0ym3dqmaygts6lxa34yyxsxl9ceu,1
addr_test1qr92dwmyvzd42up52tx6cscu9z8tnnjw06kncruqx8x9fqs4j8jp6f3kanswkahdspqsdq0ym3dqmaygts6lxa34yyxsxl9ceu,2025-11-29,9997.723866,9998.861933,-1.1380669999998645,9997.723866,9998.861933,9998.861933,0.0,0.0,0.0,addr_test1qr8dpq940a3eakdynmhqe0e5w97cuwmzcr57cya7elyj4leqq4t92l789cpu4xe53q5j8rve5vw86kwm20qq324qrrjq4frkla,1
addr_test1qrc7cs8cheuertfezmfpgvx29zkxsdnvkkuwv8zwpccke9fn0v303jq75nv6v9fd663jh925nkq69c3atmrm72v64mhs8xh49z,2025-11-29,10000.0,0.0,10000.0,10000.0,,10000.0,0.0,0.0,0.0,addr_test1vqeux7xwusdju9dvsj8h7mca9aup2k439kfmwy773xxc2hcu7zy99,1
addr_test1qrj4akkyph45y4ulcsj8jvsj6z8lgfppjxamj9duxahef4wvl7fp8sn9tq5w542gj772zg6qhx0m9qd4t652us2m7xdqcxt2u4,2025-11-29,1.14646,0.0,1.14646,1.14646,,1.14646,0.0,0.0,0.0,"addr_test1qqkxdt3sav4cz3r5xnrsstlxzlhuzhvyd2qm6wxz0gd63ee77fl6k08e6egytyweyv8w6al94rphdc47mrdzent8gazsykeyrk,addr_test1wru93xpnc6v2svsq79kyyegj0mv4mdl83sdtp8dgtu9y78smvhuhs",1
addr_test1qrj6nmj7c4lm7yafjxvzkvcf9hgqq9dp88lld7pjgnvekdvd0v7l822u4xea8zty37320uz3nwdl88agexcj9n7s986qwlg8ps,2025-11-29,6.0,0.0,6.0,6.0,,6.0,0.0,0.0,0.0,addr_test1qpfpxx2m56u7td8duem6kkcdw25kfyd0jcv7g7hwup797p5d0v7l822u4xea8zty37320uz3nwdl88agexcj9n7s986q5j40uk,1
addr_test1qrjwjlw94q2xx0wv9edc4zga55vnvk8hne0ppnj35489jk0045mvduz0uq4glknq2jjp9kfvnkwen3czk5ejyvyq92zqc5zdvp,2025-11-29,100000.0,0.0,100000.0,10000.0,,10000.0,0.0,0.0,0.0,addr_test1vqeux7xwusdju9dvsj8h7mca9aup2k439kfmwy773xxc2hcu7zy99,10
addr_test1qrqp0rwtuy4as2d0gu7ezyzx85759k7wsq4u860cy6zxq740de9hgwfj472mw57psjmpevgsezv0xkcchmhn4ye9kluse5gflu,2025-11-29,242.831859,75.0,167.831859,75.0,75.0,75.0,0.0,0.0,0.0,addr_test1qp6h0qzy8e5dw238qzde33tz6qtgjegdphrawy4h7uch05x889c9re4ajppf7f6u9vz2rxwjfd0epkcs7wdvfpjh5h7qvn4ck4,3
addr_test1qrrhnm2qjzlj3tjxugjutm46dn2urfrwjhk6t6x70m5lg9tx2u29lwmh79hdqadrshxp2akncef7yd85fhdnrx89n83sd337nr,2025-11-29,168716.344907,169785.035367,-1068.6904600000125,9997.746562,10000.0,10000.0,0.0,0.0,0.0,"addr_test1wzkw2yk6ffmd5ugx8uprpf2ujxx2at5kkptpkt5yzwu2twq6mqjur,addr_test1wrpjqever8rezsvkc05cew572uw6w0wakk6caupycp4kf5g2zalzc,addr_test1wz46tk8vdvlq6a5cccgysw7nfw4r0frnxdmkhyxaxgxal0guru5sm",4
addr_test1qrrnwdlq0sy7m9zw3kw0mxvat6almfj7ck045883tp8lxs6f5kfqjtkjgwqv93fcleg95ks8ghxl6zm03cl9ysct0auqqje3ym,2025-11-29,10000.0,0.0,10000.0,10000.0,,10000.0,0.0,0.0,0.0,addr_test1vqeux7xwusdju9dvsj8h7mca9aup2k439kfmwy773xxc2hcu7zy99,1
addr_test1qruhen60uwzpwnnr7gjs50z2v8u9zyfw6zunet4k42zrpr54mrlv55f93rs6j48wt29w90hlxt4rvpvshe55k5r9mpvqjv2wt4,2025-11-29,1613838.487336,1614040.088706,-201.6013700000476,4786.70713,4787.088175,4787.088175,0.0,0.0,0.0,"addr_test1wzccrw3f4n7qavr67uvupxm4jd46uv0f9evgzpytlwz4zgq6sfuv9,addr_test1wzjwvgn5k3m9ekmrceh6c0azywhh3d8l5jq09tpm7cwp0es5ksry9,addr_test1wrdk050fs7r9537m9wxfnqzmjsxnmud5v8le6vjh6k5jhvchuyj76",170
addr_test1qrumevq7kkyljesjhdtwuugwrf84qcfnlmuwgr9pmwpl8wdc27djcryfv4gxdyhw088dgy2v566wgq8jqyd4cw0agrdqdt3m2e,2025-11-29,12.0,0.0,12.0,12.0,,12.0,0.0,0.0,0.0,addr_test1qpfpxx2m56u7td8duem6kkcdw25kfyd0jcv7g7hwup797p5d0v7l822u4xea8zty37320uz3nwdl88agexcj9n7s986q5j40uk,1
addr_test1qrxjgv6u2dn33nejvwxfmnqcwq9nezrpw56e9a9um4zcz84mkp0e9hzqmp3aslsvqnp5jdjdth9pz0qqxap2q696v97qsp850d,2025-11-29,10000.0,0.0,10000.0,10000.0,,10000.0,0.0,0.0,0.0,addr_test1vqeux7xwusdju9dvsj8h7mca9aup2k439kfmwy773xxc2hcu7zy99,1
addr_test1qryvvl7una3saemqjdwu22y99vuhzhr7xw2xttcvpyq6hnjuc56up2uxzajkkhdemkjdnt0yn5g7wx3va69zw4lxeuhsp8q3dl,2025-11-29,11.0,0.0,11.0,5.0,,5.0,0.0,0.0,0.0,addr_test1qqm56vjt0wa9xj2r5hye682ps9gz3ksw75cv45fdmhktpkfffsx09epxg2f586qkf0znd963phxjs2ja9849kh8d0xnsc7mp78,4
addr_test1qz26nc7324hlhh06h80nfwcytjtu564uqtm6u8nh3p4t5988dh9fenf62rjattemwj6a6qhjge9wjsux6nu070azylaqqws8mq,2025-11-29,14074.461647,14774.798632999999,-700.3369859999984,7237.31507,7537.483563,7537.483563,0.0,0.0,0.0,addr_test1qqxnkqmvh6akr6jujzhw2mtf4uzf5n4a5p2drl5ha4hxqdw4pfgmdkjmu2z0rlxept3rfnha98xrmyf7v2vy5dal07wst360ex,2
addr_test1qz49hkts3ryrep28q56chcl0na2q2qzy54ln0ulsw37lhzy6628j0jzrkxqq4py3s8d7tuu9klkhakcfnrwrpcredgasp674m6,2025-11-29,10000.0,0.0,10000.0,10000.0,,10000.0,0.0,0.0,0.0,addr_test1vqeux7xwusdju9dvsj8h7mca9aup2k439kfmwy773xxc2hcu7zy99,1
addr_test1qz4jwtndvlxv4w6tyr24fla9luhnnsd0mlt5g9t3e4zx7wf92cnwrt0frm05f274wrdfhee4f250tk30qupudnf9nvhqmnh7cn,2025-11-29,841.245524,851.420793,-10.175268999999957,841.245524,851.420793,851.420793,0.0,0.0,0.0,addr_test1wrumn0zm9c858kghqrzjhhv555rgzt9hzje3sksh2e7ggaqewfxd4,1
addr_test1qz58xfza4s7qm2agzqghk5ahkr76ectl5ah3kyvnxnewkkw5cdds9sxqtxh5pll747354mwjnlsn3wkcrtccu0056n8s7wl96f,2025-11-29,1.14646,0.0,1.14646,1.14646,,1.14646,0.0,0.0,0.0,"addr_test1qqkxdt3sav4cz3r5xnrsstlxzlhuzhvyd2qm6wxz0gd63ee77fl6k08e6egytyweyv8w6al94rphdc47mrdzent8gazsykeyrk,addr_test1wru93xpnc6v2svsq79kyyegj0mv4mdl83sdtp8dgtu9y78smvhuhs",1
addr_test1qz9jfhecgrlw4yw8wknddnnpw2ah0t3n967zz9ffrssl3pdct9f58ux0fyazdlzgl3vuua05dcqnengw4vm6n0cxl4fq47fdde,2025-11-29,6.8527569999999995,10.0,-3.1472430000000005,4.472503,5.0,5.0,0.0,0.0,0.0,"addr_test1zpt24v32hpd88w3l0wmwg3mhs9lm5dzrnn0d22n6seznmjy9rk398gms2eh8snp58c9skehndz9ps8ff5rfns7mfafnqf5lz9g,addr_test1qq50sks40pnh5tkth68m3lrvzvlepaew6prl3u8u69nd3zu9rk398gms2eh8snp58c9skehndz9ps8ff5rfns7mfafnqt4qk0e",1
addr_test1qz9z9ulm4z5nqvmz0g9qs6hv7z6zqgz8fla6ggvkqxkv9et6jn2qx8lw5ag55yd5z4d5ltw8ru4xflel9pfs9c09k2rs8zdpqk,2025-11-29,1000.0,0.0,1000.0,1000.0,,1000.0,0.0,0.0,0.0,addr_test1qrrhnm2qjzlj3tjxugjutm46dn2urfrwjhk6t6x70m5lg9tx2u29lwmh79hdqadrshxp2akncef7yd85fhdnrx89n83sd337nr,1
addr_test1qzjlvcktfaxlwkc2vjw88mvxdm8dreejklxe34dea64efkal3yq6fxf0xa3nyxfrjcszcddjcyc8fv6q4dj2hxhed9kssca2ee,2025-11-29,345.0,0.0,345.0,321.0,,321.0,0.0,0.0,0.0,addr_test1qpfpxx2m56u7td8duem6kkcdw25kfyd0jcv7g7hwup797p5d0v7l822u4xea8zty37320uz3nwdl88agexcj9n7s986q5j40uk,3
addr_test1qzkgz6nnr7na88fjuj2t7meyuvr5dtjt459e0ltc72z9p0tcjnf37v8r0z0vkrf0h76vlvxa2464k8cjpzekewlk7ppqjl46kp,2025-11-29,10000.0,0.0,10000.0,10000.0,,10000.0,0.0,0.0,0.0,addr_test1vqeux7xwusdju9dvsj8h7mca9aup2k439kfmwy773xxc2hcu7zy99,1
addr_test1qzqq4tw0zma4q7ghx45uezt4pzkfgu86zd6swhnlr9f4jkf7wpxhx9vkuae835jm95yxhm2qhjkp5kzdynh36gl37dkqnz203d,2025-11-29,19999.831507,10000.0,9999.831506999999,10000.0,10000.0,10000.0,0.0,0.0,0.0,addr_test1vqeux7xwusdju9dvsj8h7mca9aup2k439kfmwy773xxc2hcu7zy99,1
addr_test1qzuj54degd86nn0fmn7melfuc8jln6zsug9knw06jdatgyu2m4n8ptzy49y25r6pe677yfgyrskvayeg4t7q4q25stwsu5cvm9,2025-11-29,1.0,0.0,1.0,1.0,,1.0,0.0,0.0,0.0,addr_test1qqdxeujed4f77u82rslna9gtsrwnxqww8f3zxz8w4uz87vwy68rhqmmahtetcv2wcvsqe0ct9h6gmd8g5nsuw38rq4sqvh9dvw,1
addr_test1qzvsq8gc7xkr7tj07xt5l904fx0g8vzlpa8dke642k72s07rvgpva40ylulzvweu2yhhhmfsdyvp0ev82hfltn5azjcqy2hd4a,2025-11-29,9997.827943,10000.0,-2.172056999999768,9997.827943,10000.0,10000.0,0.0,0.0,0.0,,0
