address,Ensemble,IsolationForest,OneClassSVM,LOF,IsolationForest_score,tx_count,total_received,total_sent,net_balance_change,max_tx_size,avg_tx_size,unique_counterparties,tx_per_day,active_days,burstiness,high_value_ratio,counterparty_diversity,inflow_outflow_asymmetry,timing_entropy,velocity_hours,collateral_ratio,smart_contract_flag,degree,weighted_degree,clustering_coefficient,betweenness_centrality
addr_test1qp23yv7k4kzhd2rntjamkda4q7hdn9qkrf63u9p8ce6fhwdeve3p6rsav4v5mdcz8qzcfenrlwhrs2ffk04ac44ermfq5t8ljx,1,1,1,1,0.1269487112396621,2,14999.819891,10000.0,4999.819890999999,10000.0,3571.4028415714283,2,2.0,1,37845.0,0.0,1.0,0.1999942364704774,-0.0,0.0,0.0,0,,,,
addr_test1qp5r7gm03mw08u9zkfrxvdr5phwg9n2mn90mcthpmea6kmt5tuww9mf3pzmp3nrvjm95hfju2v57w6f5d54h8eqd2wysqkvsl9,1,1,1,1,0.1186101244493945,1,4999.831331,10000.0,-5000.168669,10000.0,7499.915665500001,1,1.0,1,0.0,0.0,1.0,-0.3333483263019232,-0.0,,0.0,0,,,,
addr_test1qp6h0qzy8e5dw238qzde33tz6qtgjegdphrawy4h7uch05x889c9re4ajppf7f6u9vz2rxwjfd0epkcs7wdvfpjh5h7qvn4ck4,1,1,1,1,0.0913011800547311,5,49088.950138,49257.791723,-168.84158500000194,9893.494873,8195.56182175,1,5.0,1,110518.694214876,0.0,0.2,-0.0017167989686799,0.6500224216483541,0.0,0.0,0,,,,
addr_test1qp6ruunvywyrn2ldrxwk3h9dw254rgcwmp6g9prfjx53ntv898ykky2499xvnfn5eprxza4ctcvyvh96zhq8yn7p03lq2z8mze,1,1,1,1,0.105066347026639,2,18898.376703,18908.725657,-10.34895399999732,9456.950067,9451.77559,2,2.0,1,1463190.222222222,0.0,1.0,-0.0002737304197887,-0.0,0.0,0.0,0,,,,
addr_test1qpfpxx2m56u7td8duem6kkcdw25kfyd0jcv7g7hwup797p5d0v7l822u4xea8zty37320uz3nwdl88agexcj9n7s986q5j40uk,1,1,1,1,0.0940252076641072,12,5066.214307,5473.362987,-407.1486800000002,987.380719,376.4134747857143,4,12.0,1,250709.55555555547,0.0,0.3333333333333333,-0.0386304562927569,0.8112781244591328,0.0,0.0,0,,,,
addr_test1qpgq2n6vpdwskfjk0uzj9askyele649ghtz8q9r9m2r07hxw6a59ugz9wl2t82g3nggzgxpz99unwe48cx8zrct66p7syxy2l0,1,1,1,1,0.1405438351678635,1,8999.819891,10000.0,-1000.1801090000008,10000.0,3166.6366485,1,1.0,1,0.0,0.0,1.0,-0.0526415573799083,-0.0,,0.0,0,,,,
addr_test1qphpmu6qm46rgvvnxfwfc8a57y4dj20x665ulr5xjaywh93s8cfm5nnkkn5kve26gvssg7wp77jnxleujwcz8xs7v29qcdvhz8,1,1,1,1,0.1567430778751917,1,5.0,0.0,5.0,5.0,5.0,1,1.0,1,0.0,0.0,1.0,1.0,-0.0,,0.0,0,,,,
addr_test1qpsxak49pveycp2phjqzr9gfmttf9dqsx5t404xq4dz4u7ja2vzlmkj7ck88c4n40ehps56gxvts9x2weqgq89gfef5snjnwz3,1,1,1,1,0.135923470551997,1,5000.0,0.0,5000.0,5000.0,5000.0,1,1.0,1,0.0,0.0,1.0,1.0,-0.0,,0.0,0,,,,
addr_test1qptu9takwxy2309end3nuu54lpw4cpxlp7lunzqd25p69g7q9hp5y0uxq0mmautdg2mzmhctm6e5h56rrqf0epdvpwwswx5u2w,1,1,1,1,0.1383784024238951,1,10000.0,0.0,10000.0,10000.0,10000.0,1,1.0,1,0.0,0.0,1.0,1.0,-0.0,,0.0,0,,,,
addr_test1qpwrzk49m733n33krd27fdzn8yecwvju80e8c5g45asj35f2deak5yydxl5pmzdg20wgsadhu87r4elkwva8y9zge0uqs44jt2,1,1,1,1,0.1568143337763757,1,974.151903,979.320484,-5.168581000000017,979.320484,976.7361935,1,1.0,1,0.0,0.0,1.0,-0.0026458428767132,-0.0,,0.0,0,,,,
addr_test1qq50sks40pnh5tkth68m3lrvzvlepaew6prl3u8u69nd3zu9rk398gms2eh8snp58c9skehndz9ps8ff5rfns7mfafnqt4qk0e,1,1,1,1,0.0921411243251031,1,3.781,23.31279,-19.53179,23.31279,13.546895,2,1.0,1,0.0,0.0,2.0,-0.7208954524265524,-0.0,,0.0,1,,,,
addr_test1qqcm62zdvt38ctv432tptaqdrdh3hl2xlp4guq893hqpu6l77qrcufvgcycrglrj4qgxzfhk723vkn46patwnngwhyrqtunqtw,1,1,1,1,0.1480512249449767,2,1997.832695,1000.0,997.832695,1000.0,999.277565,2,2.0,1,484.0,0.0,1.0,0.3328513618069003,-0.0,0.0,0.0,0,,,,
addr_test1qqdxeujed4f77u82rslna9gtsrwnxqww8f3zxz8w4uz87vwy68rhqmmahtetcv2wcvsqe0ct9h6gmd8g5nsuw38rq4sqvh9dvw,-1,-1,1,-1,-0.0233394305371341,2,18629.790583,18632.125809,-2.3352259999992384,9316.646403,9315.479098,2,2.0,1,3603717.555555556,0.0,1.0,-6.267058235632247e-05,1.0,1.0,0.0,0,,,,
addr_test1qqj4t6m7pwqn6x3hkhs9cunj62fsgj7ezt9spvxj3mne77xp2lx7h4wuk22fmwmlhtzjvysysw663sdt6h4kwjk7ksvsfg7juk,1,1,1,1,0.0703591203318361,2,9690.764382,7689.081795,2001.6825870000007,4683.345118,1737.9846177,1,2.0,1,632.0987654320988,0.0,0.5,0.1151726296432342,1.0,0.0,0.4,0,,,,
addr_test1qqkxdt3sav4cz3r5xnrsstlxzlhuzhvyd2qm6wxz0gd63ee77fl6k08e6egytyweyv8w6al94rphdc47mrdzent8gazsykeyrk,-1,-1,-1,-1,-0.0101970246091133,2,0.0,100.0,-100.0,50.0,50.0,3,2.0,1,0.0,0.0,1.5,-1.0,-0.0,,1.0,0,,,,
addr_test1qqm56vjt0wa9xj2r5hye682ps9gz3ksw75cv45fdmhktpkfffsx09epxg2f586qkf0znd963phxjs2ja9849kh8d0xnsc7mp78,1,1,1,1,0.1111490994803559,4,39908.597266,39920.271238,-11.673972000004142,9982.820549,9978.608563,1,4.0,1,5068.530612244897,0.0,0.25,-0.000146237472969,-0.0,0.0,0.0,0,,,,
addr_test1qqpe6v4c95v0jlgjm5578w3san3eycf0hcfxwpp0yafze8mxjxnr4tyryejp4kxyqu0u82wv4hx6f6pqns9dknetaqgsmzzz6e,1,-1,1,1,-0.020208261261426,7,312820.14283200004,312846.005954,-25.863121999951545,22351.085134,14896.813066333332,7,7.0,1,606.4973230220107,0.0,1.0,-4.133693671958214e-05,-0.0,0.0,0.3333333333333333,0,,,,
addr_test1qqs88lem3gleyjj9lhhrxwj3q7uzvjyphce62pcf90wgutnl4my4md9cdrttjnk02vrmpc2av7a9vdnx600ekjrsfwvs50rr8m,1,1,1,1,0.1392783609183162,4,9862.402533,9866.657378999998,-4.254845999997997,9854.748194,2192.117768,2,4.0,1,35683.1875,0.0,0.5,-0.0002156638997994,-0.0,0.0,0.0,0,,,,
addr_test1qqtrjd6wx44xz5gkc9yl8xn6zjnzc2kns3y2tvdpmauvj2ey4t05exc5mmvkka0f75qkhw8ae9d27znqq82nqlr9x0ashdk5m0,1,1,-1,1,0.1088909430607912,1,8997.452941,9497.640442,-500.18750100000034,9497.640442,9247.5466915,0,1.0,1,0.0,0.0,0.0,-0.0270443349834477,-0.0,,0.0,0,,,,
addr_test1qqxnkqmvh6akr6jujzhw2mtf4uzf5n4a5p2drl5ha4hxqdw4pfgmdkjmu2z0rlxept3rfnha98xrmyf7v2vy5dal07wst360ex,1,1,1,1,0.140165092571412,2,700.0,0.0,700.0,400.0,350.0,1,2.0,1,0.0,0.0,0.5,1.0,-0.0,,0.0,0,,,,
addr_test1qqynu5d8p9yc7garta6z4g34e2tlzye5ty8uy6ljmffnpnjv7ncp3yppt0gcr50u60y43x32fgadhnl35u9hfqyql2pqepxt0y,1,1,1,1,0.1383784024238951,1,10000.0,0.0,10000.0,10000.0,10000.0,1,1.0,1,0.0,0.0,1.0,1.0,-0.0,,0.0,0,,,,
addr_test1qqzllc620hkk05l5cyg38wgflrunzw70x5h6825g03gu4yyc85y96hdkqtarg95gewuezjvkw8zt530tnmglhrzccdds5vxw0m,1,1,1,1,0.0008694286925096,3,10406.715854,10422.392152,-15.676297999998496,6738.88139,2314.345334,1,3.0,1,2441836.0,0.0,0.3333333333333333,-0.000752614946136,1.584962500721156,0.5,0.3333333333333333,0,,,,
addr_test1qr23z9axxwyh5zaj2ewqvfu6xd899tddxgasrwu35p2vgw9gvst4lcyrhmg0vtwq5g4tx25etraqj2cm6kwd8ly0eaaqwpc2hs,1,1,1,1,0.0853571772377846,5,15001.47031,15033.205123,-31.73481299999912,1882.498675,1877.1672145625,3,5.0,1,49465.39555555555,0.0,0.6,-0.0010566058245174,-0.0,0.0,0.375,0,,,,
addr_test1qr5dmng8myuymt0rrwltw5uasv8vjcqchlmstz4z3uz0z8awj3v2656xdwvnztjpm69n6072xkqjmuzqhttpa65u5dhssuht5q,1,1,1,1,0.1383784024238951,1,10000.0,0.0,10000.0,10000.0,10000.0,1,1.0,1,0.0,0.0,1.0,1.0,-0.0,,0.0,0,,,,
addr_test1qr7cxnat868zymckfjrqltzzj7fppqt7v48qak2p6g2sj06cg82zr8nkulez36wc4hwcfq3z4hdu7730798vs97njpeq93repj,1,1,1,1,0.1383784024238951,1,10000.0,0.0,10000.0,10000.0,10000.0,1,1.0,1,0.0,0.0,1.0,1.0,-0.0,,0.0,0,,,,
addr_test1qr88apxadqac8v2vnnvmpyrvk0xx9d2ra0v2urg5px0n4jvc9dhu5g4hywcenl666x9rv8t04x2sk2ddfvemsve9gums47fdsm,1,1,1,1,0.1383784024238951,1,10000.0,0.0,10000.0,10000.0,10000.0,1,1.0,1,0.0,0.0,1.0,1.0,-0.0,,0.0,0,,,,
addr_test1qr8dpq940a3eakdynmhqe0e5w97cuwmzcr57cya7elyj4leqq4t92l789cpu4xe53q5j8rve5vw86kwm20qq324qrrjq4frkla,1,1,1,1,0.1568195581216976,1,0.96975,0.0,0.96975,0.96975,0.96975,1,1.0,1,0.0,0.0,1.0,1.0,-0.0,,0.0,0,,,,
addr_test1qr92dwmyvzd42up52tx6cscu9z8tnnjw06kncruqx8x9fqs4j8jp6f3kanswkahdspqsdq0ym3dqmaygts6lxa34yyxsxl9ceu,1,1,1,1,0.1430217559455216,1,9997.723866,9998.861933,-1.1380669999998645,9998.861933,9998.2928995,1,1.0,1,0.0,0.0,1.0,-5.691306563227296e-05,-0.0,,0.0,0,,,,
addr_test1qrc7cs8cheuertfezmfpgvx29zkxsdnvkkuwv8zwpccke9fn0v303jq75nv6v9fd663jh925nkq69c3atmrm72v64mhs8xh49z,1,1,1,1,0.1383784024238951,1,10000.0,0.0,10000.0,10000.0,10000.0,1,1.0,1,0.0,0.0,1.0,1.0,-0.0,,0.0,0,,,,
addr_test1qrj4akkyph45y4ulcsj8jvsj6z8lgfppjxamj9duxahef4wvl7fp8sn9tq5w542gj772zg6qhx0m9qd4t652us2m7xdqcxt2u4,1,1,-1,1,0.1197095561862695,1,1.14646,0.0,1.14646,1.14646,1.14646,2,1.0,1,0.0,0.0,2.0,1.0,-0.0,,0.0,0,,,,
addr_test1qrj6nmj7c4lm7yafjxvzkvcf9hgqq9dp88lld7pjgnvekdvd0v7l822u4xea8zty37320uz3nwdl88agexcj9n7s986qwlg8ps,1,1,1,1,0.1567430778751917,1,6.0,0.0,6.0,6.0,6.0,1,1.0,1,0.0,0.0,1.0,1.0,-0.0,,0.0,0,,,,
addr_test1qrjwjlw94q2xx0wv9edc4zga55vnvk8hne0ppnj35489jk0045mvduz0uq4glknq2jjp9kfvnkwen3czk5ejyvyq92zqc5zdvp,-1,-1,-1,-1,-0.0181320503774715,10,100000.0,0.0,100000.0,10000.0,10000.0,1,10.0,1,198397.2098765432,0.0,0.1,1.0,1.7219280948873623,,0.0,0,,,,
addr_test1qrqp0rwtuy4as2d0gu7ezyzx85759k7wsq4u860cy6zxq740de9hgwfj472mw57psjmpevgsezv0xkcchmhn4ye9kluse5gflu,1,1,1,1,0.1208461991539005,4,242.831859,75.0,167.831859,75.0,52.9719765,1,4.0,1,204577.84000000003,0.0,0.25,0.528052346696937,0.6500224216483541,0.0,0.0,0,,,,
addr_test1qrrhnm2qjzlj3tjxugjutm46dn2urfrwjhk6t6x70m5lg9tx2u29lwmh79hdqadrshxp2akncef7yd85fhdnrx89n83sd337nr,1,1,-1,1,0.0104363923195651,9,168716.34490700002,169785.035367,-1068.6904599999834,10000.0,9402.81611872222,4,9.0,1,221215.52979591835,0.0,0.4444444444444444,-0.0031571229019359,1.2651680569341983,0.0,0.4444444444444444,0,,,,
addr_test1qrrnwdlq0sy7m9zw3kw0mxvat6almfj7ck045883tp8lxs6f5kfqjtkjgwqv93fcleg95ks8ghxl6zm03cl9ysct0auqqje3ym,1,1,1,1,0.1383784024238951,1,10000.0,0.0,10000.0,10000.0,10000.0,1,1.0,1,0.0,0.0,1.0,1.0,-0.0,,0.0,0,,,,
addr_test1qruhen60uwzpwnnr7gjs50z2v8u9zyfw6zunet4k42zrpr54mrlv55f93rs6j48wt29w90hlxt4rvpvshe55k5r9mpvqjv2wt4,-1,-1,-1,-1,-0.1782549040424326,170,1613838.4873360002,1614040.088706,-201.6013699998148,4787.088175,4746.880258885294,67,170.0,1,2745.316746232981,0.0,0.3941176470588235,-6.245630535675751e-05,1.9360083030469617,0.0,0.5,0,,,,
addr_test1qrumevq7kkyljesjhdtwuugwrf84qcfnlmuwgr9pmwpl8wdc27djcryfv4gxdyhw088dgy2v566wgq8jqyd4cw0agrdqdt3m2e,1,1,1,1,0.155660040950016,1,12.0,0.0,12.0,12.0,12.0,1,1.0,1,0.0,0.0,1.0,1.0,-0.0,,0.0,0,,,,
addr_test1qrxjgv6u2dn33nejvwxfmnqcwq9nezrpw56e9a9um4zcz84mkp0e9hzqmp3aslsvqnp5jdjdth9pz0qqxap2q696v97qsp850d,1,1,1,1,0.1383784024238951,1,10000.0,0.0,10000.0,10000.0,10000.0,1,1.0,1,0.0,0.0,1.0,1.0,-0.0,,0.0,0,,,,
addr_test1qryvvl7una3saemqjdwu22y99vuhzhr7xw2xttcvpyq6hnjuc56up2uxzajkkhdemkjdnt0yn5g7wx3va69zw4lxeuhsp8q3dl,1,1,1,1,0.1275116507154678,4,11.0,0.0,11.0,5.0,2.75,1,4.0,1,1205.5555555555554,0.0,0.25,1.0,-0.0,,0.0,0,,,,
addr_test1qz26nc7324hlhh06h80nfwcytjtu564uqtm6u8nh3p4t5988dh9fenf62rjattemwj6a6qhjge9wjsux6nu070azylaqqws8mq,1,1,1,1,0.1311746415729958,2,14074.461647,14774.798633,-700.3369859999984,7537.483563,7212.31507,1,2.0,1,127008.0,0.0,0.5,-0.0242757346012616,-0.0,0.0,0.0,0,,,,
addr_test1qz49hkts3ryrep28q56chcl0na2q2qzy54ln0ulsw37lhzy6628j0jzrkxqq4py3s8d7tuu9klkhakcfnrwrpcredgasp674m6,1,1,1,1,0.1383784024238951,1,10000.0,0.0,10000.0,10000.0,10000.0,1,1.0,1,0.0,0.0,1.0,1.0,-0.0,,0.0,0,,,,
addr_test1qz4jwtndvlxv4w6tyr24fla9luhnnsd0mlt5g9t3e4zx7wf92cnwrt0frm05f274wrdfhee4f250tk30qupudnf9nvhqmnh7cn,1,1,1,1,0.1583934092222418,1,841.245524,851.420793,-10.175268999999956,851.420793,846.3331585000001,1,1.0,1,0.0,0.0,1.0,-0.0060113850543408,-0.0,,0.0,0,,,,
addr_test1qz58xfza4s7qm2agzqghk5ahkr76ectl5ah3kyvnxnewkkw5cdds9sxqtxh5pll747354mwjnlsn3wkcrtccu0056n8s7wl96f,1,1,-1,1,0.1197095561862695,1,1.14646,0.0,1.14646,1.14646,1.14646,2,1.0,1,0.0,0.0,2.0,1.0,-0.0,,0.0,0,,,,
addr_test1qz9jfhecgrlw4yw8wknddnnpw2ah0t3n967zz9ffrssl3pdct9f58ux0fyazdlzgl3vuua05dcqnengw4vm6n0cxl4fq47fdde,1,1,-1,1,0.0702010245710073,1,6.852757,10.0,-3.1472430000000005,5.0,4.21318925,2,1.0,1,0.0,0.0,2.0,-0.1867494440227198,-0.0,,0.5,0,,,,
addr_test1qz9z9ulm4z5nqvmz0g9qs6hv7z6zqgz8fla6ggvkqxkv9et6jn2qx8lw5ag55yd5z4d5ltw8ru4xflel9pfs9c09k2rs8zdpqk,1,1,1,1,0.1452839947115012,1,1000.0,0.0,1000.0,1000.0,1000.0,1,1.0,1,0.0,0.0,1.0,1.0,-0.0,,0.0,0,,,,
addr_test1qzjlvcktfaxlwkc2vjw88mvxdm8dreejklxe34dea64efkal3yq6fxf0xa3nyxfrjcszcddjcyc8fv6q4dj2hxhed9kssca2ee,1,1,1,-1,0.0120945600027511,3,345.0,0.0,345.0,321.0,115.0,1,3.0,1,8357881.0,0.0,0.3333333333333333,1.0,0.9182958340544896,,0.0,0,,,,
addr_test1qzkgz6nnr7na88fjuj2t7meyuvr5dtjt459e0ltc72z9p0tcjnf37v8r0z0vkrf0h76vlvxa2464k8cjpzekewlk7ppqjl46kp,1,1,1,1,0.1383784024238951,1,10000.0,0.0,10000.0,10000.0,10000.0,1,1.0,1,0.0,0.0,1.0,1.0,-0.0,,0.0,0,,,,
addr_test1qzqq4tw0zma4q7ghx45uezt4pzkfgu86zd6swhnlr9f4jkf7wpxhx9vkuae835jm95yxhm2qhjkp5kzdynh36gl37dkqnz203d,1,1,1,1,0.1119468580068019,2,19999.831507,10000.0,9999.831507,10000.0,7499.95787675,1,2.0,1,2640.222222222222,0.0,0.5,0.3333295890234147,-0.0,0.0,0.0,0,,,,
addr_test1qzuj54degd86nn0fmn7melfuc8jln6zsug9knw06jdatgyu2m4n8ptzy49y25r6pe677yfgyrskvayeg4t7q4q25stwsu5cvm9,1,1,1,1,0.1568195581216976,1,1.0,0.0,1.0,1.0,1.0,1,1.0,1,0.0,0.0,1.0,1.0,-0.0,,0.0,0,,,,
addr_test1qzvsq8gc7xkr7tj07xt5l904fx0g8vzlpa8dke642k72s07rvgpva40ylulzvweu2yhhhmfsdyvp0ev82hfltn5azjcqy2hd4a,1,1,1,1,0.1129184350283443,1,9997.827943,10000.0,-2.172056999999768,10000.0,9998.9139715,0,1.0,1,0.0,0.0,0.0,-0.00010861464586,-0.0,,0.0,0,,,,
addr_test1qzyp52q023yfcvrj902k2hs9gn258ddnsrcg3p540vy7ldd7h569fuf63k3lj4frpp6c9mv0eegedj5qjffyc44qezuseuuy9y,1,1,1,1,0.135923470551997,1,5000.0,0.0,5000.0,5000.0,5000.0,1,1.0,1,0.0,0.0,1.0,1.0,-0.0,,0.0,0,,,,
addr_test1qzz5gfc0dmrqeya5wyf30gpr0g4ldhxwwxuhh0mv7n489j4jsgj6cajkxp5huugd5nvtfch2cpke8y25usqrxee0ez3q926uzr,1,1,1,1,0.1231939777795472,1,7.490852,12.362441,-4.871589,7.362441,4.96332325,1,1.0,1,0.0,0.0,1.0,-0.2453793937358402,-0.0,,0.25,0,,,,
addr_test1vpy494af9z9th4anvcjnp8pxfsyfmkakqshaw6v784qph9qtutwc9,-1,-1,1,-1,-0.095971387287432,140,481577.360642,481850.526352,-273.16571000003023,1774.753148,1720.4069410607142,2,140.0,1,2504.606033646846,0.0,0.0142857142857142,-0.0002835351910482,1.9806945621946903,0.0,0.5,0,,,,
addr_test1vqeux7xwusdju9dvsj8h7mca9aup2k439kfmwy773xxc2hcu7zy99,-1,-1,-1,-1,-0.0932634912190594,23,0.0,230004.6000000001,-230004.6000000001,10000.2,10000.2,14,23.0,1,145360.3305785124,0.0,0.6086956521739131,-1.0,1.7712589600219495,,0.0,0,,,,
addr_test1vryumtuh5u0zkk3e7cvv4f568umz5xrt8077cz5ehemjzzcu0edde,1,1,1,1,0.111606525277656,2,10001.0,0.0,10001.0,10000.0,5000.5,2,2.0,1,0.0,0.0,1.0,1.0,-0.0,,0.0,0,,,,
addr_test1wp0gzp4v5r2zhskqutftc2v8pge7yjkuhhxgdrmfpwv0h8q8wncs6,1,1,1,1,0.136280292014949,6,9.0,9.0,0.0,3.0,3.0,6,6.0,1,4445744.960000001,0.0,1.0,0.0,1.584962500721156,1.0,0.0,1,,,,
addr_test1wp0zd2jtjvkk2evq59hpqqjztvaffpwd7tm3lscre927zxg36etun,1,1,1,1,0.141541186920531,6,9.0,9.0,0.0,3.0,3.0,6,6.0,1,4387945.6,0.0,1.0,0.0,1.584962500721156,1.0,0.0,1,,,,
addr_test1wp4y7k88m8mekc0hlcd6z0jgwn8fssy3axhapz74xgeu5hsdzcpdu,1,1,1,1,0.1416429024396636,6,9.0,9.0,0.0,3.0,3.0,6,6.0,1,4406466.64,0.0,1.0,0.0,1.584962500721156,1.0,0.0,1,,,,
addr_test1wp5ty7h0nlt3v5dhd647dx2rvapesghgxarjwyv2xh4dmhq9atx32,1,1,1,1,0.1019493973405862,4,6.0,12.0,-6.0,3.0,3.0,6,4.0,1,3016774.56,0.0,1.5,-0.3333333333333333,1.0,1.0,0.0,1,,,,
addr_test1wp7pw67qhvud2j0q5u0yams975wmx8shxreau235ugwzm4s3830m9,1,1,1,1,0.0366621147676121,35,0.0,2350.3421299999995,-2350.3421299999995,69.05051,29.75116620253165,14,35.0,1,90754.30966469429,0.0,0.4,-1.0,1.8327376787990588,,0.0,1,,,,
addr_test1wp82uw2sqcwf3rzkww2mm5g5sj226els624jw6gzpvj5nggymcl22,1,1,1,1,0.0804647829646881,6,144.0,144.0,0.0,3.0,3.0,6,6.0,1,383122.2393351802,0.0,1.0,0.0,1.584962500721156,1.0,0.0,1,,,,
